t,e_abs,e_rel,order
37.24,0.005097895141752237,0.0014131104899499428,2
37.25,0.0051010165790482094,0.0014134905821970468,2
37.26,0.005104139559458604,0.0014138706721638552,2
37.27,0.00510726408370726,0.0014142507598294332,2
37.28,0.005110390152519275,0.001414630845173356,2
37.29,0.005113517766568558,0.0014150109281611967,2
37.3,0.005116646926529699,0.0014153910087589035,2
37.31,0.005119777633128318,0.0014157710869467234,2
37.32,0.00512290988709,0.0014161511627050647,2
37.33,0.005126043689090284,0.001416531236000679,2
37.34,0.0051291790398052,0.0014169113068006505,2
37.35,0.005132315939960846,0.0014172913750860859,2
37.36,0.005135454390283959,0.0014176714408384488,2
37.37,0.005138594391451163,0.0014180515040255587,2
37.38,0.005141735944139025,0.0014184315646154225,2
37.39,0.005144879049100547,0.0014188116225973325,2
37.4,0.005148023706989024,0.0014191916779332763,2
37.41,0.005151169918555572,0.0014195717306124177,2
37.42,0.005154317684454033,0.00141995178059731,2
37.43,0.005157467005438108,0.00142033182787823,2
37.44,0.00516061788216108,0.0014207118724180012,2
37.45,0.005163770315351813,0.0014210919142004757,2
37.46,0.0051669243057393885,0.0014214719532097673,2
37.47,0.005170079854005229,0.0014218519894170904,2
37.48,0.0051732369608506424,0.0014222320227993501,2
37.49,0.005176395626931765,0.0014226120533212575,2
37.5,0.005179555853054702,0.0014229920809889641,2
37.51,0.005182717639874579,0.0014233721057673406,2
37.52,0.005185880988071225,0.0014237521276282835,2
37.53,0.005189045898401698,0.0014241321465651214,2
37.54,0.005192212371521517,0.0014245121625435326,2
37.55,0.005195380408186486,0.00142489217555695,2
37.56,0.005198550009054631,0.0014252721855722117,2
37.57,0.0052017211748822565,0.0014256521925833437,2
37.58,0.005204893906352215,0.0014260321965644614,2
37.59,0.005208068204120253,0.001426412197482507,2
37.6,0.005211244068994737,0.0014267921953464624,2
37.61,0.005214421501635087,0.0014271721901247488,2
37.62,0.005217600502748932,0.0014275521817992355,2
37.63,0.005220781072992642,0.0014279321703380148,2
37.64,0.0052239632131773715,0.0014283121557517665,2
