t,H_x,H_z,history_x,history_z,delta_t
4.29,0.10546330392632719,-0.10966398258649887,0.055122117763272804,0.11498772447467065,0.01
4.3,0.10600933377020119,-0.10851129577636352,0.054080875646607574,0.11554469110373056,0.01
4.3100000000000005,0.10654492143925935,-0.10735308876442419,0.053033730423910797,0.11609173446524679,0.01
4.32,0.10707000837867943,-0.10618946108705855,0.05198077765536269,0.11662879427202544,0.01
4.33,0.10758453699236659,-0.10502051287898373,0.05092211352118081,0.11715581114645168,0.01
4.34,0.10808845064910302,-0.10384634486412957,0.04985783478955419,0.11767272662667061,0.01
4.3500000000000005,0.10858169368815768,-0.10266705834645025,0.04878803882181337,0.11817948317276272,0.01
4.36,0.10906421142553932,-0.10148275520067426,0.04771282357102802,0.11867602417266543,0.01
4.37,0.1095359501595782,-0.100293537862997,0.04663228754062754,0.11916229394809097,0.01
4.38,0.10999685717635185,-0.09909950932171249,0.0455465298094877,0.11963823776040972,0.01
4.39,0.11044688075576795,-0.09790077310778884,0.044455650019991744,0.1201038018164251,0.01
4.4,0.1108859701767517,-0.09669743328538391,0.04335974834804013,0.12055893327408107,0.01
4.41,0.11131407572272879,-0.09548959444230717,0.0422589255014687,0.12100358024789237,0.01
4.42,0.11173114868678105,-0.09427736168042612,0.04115328273648089,0.12143769181464581,0.01
4.43,0.11213714137745841,-0.0930608406060143,0.04004292180980329,0.1218612180186911,0.01
4.44,0.11253200712297713,-0.09184013732005222,0.038927944976021145,0.12227410987727172,0.01
4.45,0.11291570027697886,-0.09061535840846882,0.03780845501930319,0.12267631938585932,0.01
4.46,0.11328817622336318,-0.08938661093233509,0.03668455520544178,0.12306779952321456,0.01
4.47,0.11364939138108768,-0.08815400241800458,0.03555634927075779,0.12344850425651988,0.01
4.48,0.11399930320877834,-0.08691764084720462,0.034423941432145,0.12381838854634264,0.01
4.49,0.1143378702097306,-0.08567763464707769,0.03328743636373499,0.12417740835143132,0.01
4.5,0.11466505193605303,-0.08443409268017606,0.03214693919670708,0.12452552063364575,0.01
4.51,0.11498080899366472,-0.08318712423440483,0.03100255550317943,0.1248626833625579,0.01
4.5200000000000005,0.11528510304611661,-0.08193683901292483,0.02985439128003886,0.1251888555200633,0.01
4.53,0.11557789681926553,-0.08068334712400352,0.02870255296392532,0.12550399710501026,0.01
