t,x,z,v_x,v_z,u_x,u_z,w_x,w_z,H_x,H_z,H'_x,H'_z
6.42,1.2498593414323995,-0.04359977009445587,0.08572171703290546,1.213035846769264,0.04359977009445587,1.2498593414323995,0.04212194693844959,-0.036823494663135614,-0.017887922283724496,0.08842781375374496,-0.1319405104060064,-0.00017727138429535216
6.43,1.250657795971318,-0.0314633712117349,0.07396741630035088,1.214224831319751,0.0314633712117349,1.250657795971318,0.04250404508861598,-0.03643296465156709,-0.01920737686683218,0.08841959382173724,-0.1319441842691279,-0.0014669469778203492
6.44,1.2513386314376953,-0.01931565125199093,0.06219808745510024,1.2153000392751705,0.01931565125199093,1.2513386314376953,0.04288243620310931,-0.03603859216252481,-0.020526805969107113,0.08839847481418855,-0.1319354100729795,-0.002757026161655851
6.45,1.2519017030508839,-0.007157748888608243,0.0504148308676817,1.2162612909378043,0.007157748888608243,1.2519017030508839,0.04325708197907346,-0.035640412113079556,-0.021846085068291835,0.08836445329850413,-0.1319141799446497,-0.004047388214693193
6.46,1.2523468770443646,0.005009195461196363,0.038618748980850326,1.2171084172421067,-0.005009195461196363,1.2523468770443646,0.04362794444204669,-0.035238459802257927,-0.023165089568000053,0.08831752704989469,-0.1318804871708963,-0.005337912303565062
6.47,1.2526740306859914,0.017184039742812567,0.02681094620456599,1.2178412597779487,-0.017184039742812567,1.2526740306859914,0.04399498594737856,-0.03483277090804271,-0.024483694811709703,0.08825769505243283,-0.13183432624710867,-0.006628477493861418
6.48,1.2528830522971162,0.029365640370902675,0.014992528814772789,1.2184596708128987,-0.029365640370902675,1.2528830522971162,0.044358169185675464,-0.03442338148421742,-0.025801776092942288,0.08818495750001744,-0.13177569280980928,-0.007918962761507942
6.49,1.2529738412707587,0.04155285233628603,0.0031646048492953577,1.2189635133134882,-0.04155285233628603,1.2529738412707587,0.044717457185581386,-0.03401032795727055,-0.027119208667905955,0.0880993157972027,-0.13170458366006477,-0.009209247004256405
6.5,1.2529463080886922,0.053744529313030684,-0.008671715994370298,1.2193526609655008,-0.053744529313030684,1.2529463080886922,0.045072813318660386,-0.03359364712319146,-0.028435867766143527,0.08800077255993231,-0.1316209967566011,-0.010499209052666991
6.51,1.2528003743375378,0.06593952376574336,-0.02051532246344441,1.2196269981932515,-0.06593952376574336,1.2528003743375378,0.04542420130229895,-0.03317337614428628,-0.02975162860303792,0.08788933161614938,-0.13152493131731147,-0.011788727682009892
6.5200000000000005,1.2525359727237855,0.07813668705704686,-0.032365101854545705,1.2197864201778699,-0.07813668705704686,1.2525359727237855,0.04577158520250116,-0.032749552545915606,-0.031066366392489816,0.0877649980062921,-0.1314163876887855,-0.013077681623517634
6.53,1.252153047087776,0.0903348695552356,-0.04421994011578831,1.2198308328745815,-0.0903348695552356,1.252153047087776,0.0461149294394473,-0.03232221421319448,-0.0323799563568137,0.08762777798367906,-0.13129536737369651,-0.014365949575707582
6.54,1.2516515524166862,0.1025329207420987,-0.056078721952514475,1.2197601530289808,-0.1025329207420987,1.2516515524166862,0.046454198789584226,-0.031891399387705466,-0.03369227373996369,0.08747767901477796,-0.13116187308027571,-0.015653410215849206
6.55,1.251031454856413,0.11472968932090087,-0.06794033093072263,1.2195743081923043,-0.11472968932090087,1.251031454856413,0.04678935839017824,-0.031457146664108704,-0.035003193818419154,0.08731470977936208,-0.1310159087002858,-0.0169399422115033
6.5600000000000005,1.2502927317224586,0.12692402332451105,-0.07980364958268699,1.2192732367356822,-0.12692402332451105,1.2502927317224586,0.04712037374182407,-0.031019494986776364,-0.03631259191396946,0.08713888017054788,-0.1308574793290882,-0.01822542423195017
6.57,1.2494353715097313,0.13911477022366833,-0.09166755951114831,1.218856887863392,-0.13911477022366833,1.2494353715097313,0.04744721071252002,-0.030578483646339194,-0.037620343405000985,0.08695020129472307,-0.13068659118039072,-0.01950973495951125
6.58,1.2484593739013254,0.15130077703537553,-0.1035309414935237,1.2183252216250913,-0.15130077703537553,1.2484593739013254,0.04776983554185184,-0.030134152276234172,-0.03892632373757722,0.08674868547135767,-0.13050325168369725,-0.020792753101285477
6.59,1.2473647497762537,0.1634808904314099,-0.1153926755884286,1.2176782089270324,-0.1634808904314099,1.2473647497762537,0.0480882148429813,-0.029686540849221288,-0.040230408438674876,0.08653434623269737,-0.13030746944675053,-0.02207435740031105
6.6000000000000005,1.2461515212160927,0.17565395684694093,-0.12725164123934096,1.216915831542273,-0.17565395684694093,1.2461515212160927,0.04840231560759997,-0.02923568967381973,-0.04153247312651229,0.08630719832335143,-0.13009925428508273,-0.023354426647337334
6.61,1.244819721510628,0.1878188225892453,-0.13910671738202482,1.2160380821198498,-0.1878188225892453,1.244819721510628,0.04871210520722047,-0.02878163939077827,-0.0428323935243766,0.08606725769975061,-0.12987861718784233,-0.024632839692319664
6.62,1.2433693951623785,0.19997433394650807,-0.1509567825477294,1.2150449641929484,-0.19997433394650807,1.2433693951623785,0.04901755139877867,-0.02832443096943016,-0.04413004547026908,0.08581454152950505,-0.12964557024240841,-0.02590947545547717
6.63,1.2418005978901434,0.21211933729670104,-0.1628007149693682,1.2139364921860438,-0.21211933729670104,1.2418005978901434,0.049318622327332834,-0.027864105704099584,-0.04542530492922471,0.08554906819064108,-0.12940012680246982,-0.02718421293916151
6.640000000000001,1.2401133966314417,0.22425267921652695,-0.17463739268836373,1.2127126914210193,-0.22425267921652695,1.2401133966314417,0.049615286528163216,-0.02740070521042237,-0.04671804800631852,0.0852708572707218,-0.12914230143888483,-0.02845693123936499
