t,x,z,xdot,zdot
1.445,-1.4478551307946417,-0.49643379957600414,-1.0019758690620386,-0.38376468187787105
1.45,-1.4528650101399518,-0.498352625242243,-1.0019758690620386,-0.3837655804359869
1.455,-1.457874889485262,-0.5002714553280109,-1.0019758690620386,-0.38376644982521146
1.46,-1.4628847688305722,-0.5021902896898415,-1.0019758690620386,-0.3837672909924219
1.465,-1.4678946481758823,-0.5041091281889257,-1.0019758690620386,-0.38376810485375806
1.47,-1.4729045275211925,-0.5060279706909606,-1.0019758690620386,-0.38376889229562017
1.475,-1.4779144068665027,-0.5079468170660028,-1.0019758690620386,-0.38376965417563413
1.48,-1.4829242862118128,-0.5098656671883272,-1.0019758690620386,-0.38377039132358576
1.485,-1.487934165557123,-0.5117845209362898,-1.0019758690620386,-0.38377110454232444
1.49,-1.4929440449024332,-0.5137033781921957,-1.0019758690620386,-0.3837717946086376
1.495,-1.4979539242477433,-0.5156222388421704,-1.0019758690620386,-0.3837724622740966
1.5,-1.5029638035930535,-0.517541102776036,-1.0019758690620386,-0.38377310826587546
1.5050000000000001,-1.5079736829383636,-0.5194599698871913,-1.0019758690620386,-0.3837737332875427
1.51,-1.5129835622836738,-0.5213788400724955,-1.0019758690620386,-0.3837743380198277
1.5150000000000001,-1.517993441628984,-0.5232977132321558,-1.0019758690620386,-0.3837749231213621
1.52,-1.5230033209742941,-0.525216589269619,-1.0019758690620386,-0.383775489229397
1.5250000000000001,-1.5280132003196043,-0.5271354680914663,-1.0019758690620386,-0.38377603696049734
1.53,-1.5330230796649145,-0.5290543496073112,-1.0019758690620386,-0.383776566911213
1.5350000000000001,-1.5380329590102246,-0.5309732337297016,-1.0019758690620386,-0.3837770796587288
1.54,-1.5430428383555348,-0.532892120374024,-1.0019758690620386,-0.38377757576149313
1.545,-1.548052717700845,-0.5348110094584119,-1.0019758690620386,-0.38377805575982593
1.55,-1.5530625970461551,-0.5367299009036559,-1.0019758690620386,-0.3837785201765075
1.555,-1.5580724763914653,-0.5386487946331184,-1.0019758690620386,-0.3837789695173476
1.56,-1.5630823557367755,-0.5405676905726493,-1.0019758690620386,-0.38377940427173646
